,Sentence,Label,weightedSum,sum,min,max/min,max/med,med/min,med
0,"In modern digital world , electronic products are widely used in daily lives such as Smart phones , computers and etc .
",0,28.1585131533489,90.62199937552214,8.37193775177002,8.336496956646442,5.306498289108276,3.029998667538166,3.065439462661743
1,"In work places , electronic devices such as computers are also inevitable to use to increase the productivity of the corporation .
",0,34.79136761276161,98.37955624912865,11.782256126403809,11.778878201497719,8.49056100845337,3.2883171930443496,3.2916951179504395
2,"The convenience and high efficiency of using electronic products is being noticed by people worldwide .
",0,28.560699459370912,75.42660063505173,10.746709823608398,10.561196029186249,6.159918785095215,4.401277244091034,4.586791038513184
3,"Some people started to think if electronic products can be further operated to more advanced utilization and replace human beings for better performances .
",0,39.35116692699954,136.02203333377838,12.276241302490234,11.304698824882507,6.458539009094238,4.846159815788269,5.817702293395996
4,"Surveillance technology such as RFID ( radio-frequency identification ) is one type of examples that has currently been implemented .
",0,35.66336267063285,92.17757240310311,12.126550674438477,12.12244899990037,8.754803895950317,3.3676451039500535,3.371746778488159
5,"In this essay , I will discuss that if surveillance technology such as RFID ( radio-frequency identification ) should be used or not to track people .
",0,31.556639207022236,105.43062201002613,11.025146484375,11.021143116056919,8.724479913711548,2.2966632023453712,2.300666570663452
6,"Personally , I agree to a large extent that surveillance technology such as RFID should be used to track people .
",0,31.025157503485296,86.08298949059099,10.450773239135742,10.444521223194897,7.212936162948608,3.2315850602462888,3.237837076187134
7,"Surveillance technology such as RFID can be operated twenty-four hours with the absence of operators to track done every detail about human activities .
",0,40.280419664140915,135.36281202500686,12.145362854003906,12.1412611794658,7.296517372131348,4.844743807334453,4.848845481872559
8,"For instance , in militaries which are of high importance , surveillance technology is essential as it is a way to provide undeniable evidences if anything are fault .
",0,41.53636590433815,151.58903423324227,14.737232208251953,14.701097276061773,10.610785961151123,4.09031131491065,4.12644624710083
9,"In supermarkets where it is difficult to catch stealers , surveillance technology which makes records that can be replayed or detect stealers on the spot are superior to use .
",0,42.07848846280767,169.20917427167296,12.961772918701172,12.929390329867601,8.318151950836182,4.61123837903142,4.64362096786499
10,"The high accuracy in utilizing surveillance technology eliminates the amount of disagreements among people .
",0,37.112390968100165,92.48008108884096,13.039855003356934,13.024134986102581,8.262855529785156,4.761279456317425,4.776999473571777
11,"If people are aware of the existence of surveillance , the chance for them to follow rules and orders is high .
",0,29.63760604990744,89.7768631502986,8.908716201782227,8.858969688415527,5.091227054595947,3.76774263381958,3.8174891471862793
12,"It is useful as it reduces the chances of wrong doings that may occur .
",0,26.9234437461269,64.68634955585003,8.63412094116211,8.599200114607811,5.022202014923096,3.5769980996847153,3.6119189262390137
13,"Therefore , surveillance technology makes our society more ordered .
",0,32.79217716010635,65.33518433570862,12.053116798400879,10.82512617111206,6.436038970947266,4.389087200164795,5.617077827453613
14,"Risks can be analyzed if there is a record of what was happened in the past .
",0,26.650113795929077,72.82814511656761,7.664478302001953,7.4688930213451385,4.317059755325317,3.151833266019821,3.3474185466766357
15,"In late nineteenth century , there was a severe air crash happening at Miami international airport .
",0,31.610365886449287,90.13905066251755,9.010339736938477,8.850826501846313,4.779040813446045,4.0717856884002686,4.231298923492432
16,"The air cargo of the Valujet plane was on fire after the plane had taken off .
",0,29.624989480499433,81.96607284806669,8.640275955200195,8.622279712930322,5.3836610317230225,3.2386186812072992,3.256614923477173
17,"Sooner or later , the electric systems were short circuited as a result that the airplane was out of control and nose diving to the ground with extremely high speed .
",0,32.90389046310084,124.0284340592334,9.2739896774292,9.273292307858355,6.804774284362793,2.4685180234955624,2.4692153930664062
18,"All passengers and pilots were died .
",0,27.614768446204835,46.49598503112793,10.418316841125488,8.850100755691528,4.37291145324707,4.477189302444458,6.045405387878418
19,"After finding and analyzing the black box of the Valujet after the incidence , police investigators found out reasons for causing this severe incidence .
",0,40.68035003677131,145.18913209438324,13.410384178161621,12.775928974151611,8.663938522338867,4.111990451812744,4.746445655822754
20,"Surveillance technology can be used to detect very risky events and prevent its happening in the future , hence to save more lives .
",0,34.74934841632622,104.42071446031332,12.126550674438477,12.06081197410822,8.509915351867676,3.5508966222405434,3.616635322570801
21,"In addition , if surveillance technology is even better developed , it can be used to detect the problem before the real accidence has happened .
",0,35.96300308610568,116.09716588258743,12.177849769592285,11.658721685409546,9.278718948364258,2.380002737045288,2.8991308212280273
22,"However , the dark side of using surveillance technology is that it results in the invasion of privacy .
",0,30.143555572313332,72.98072328604758,9.40256118774414,9.39114554785192,7.0398783683776855,2.3512671794742346,2.362682819366455
23,"People under supervision are under high pressure to perform naturally .
",1,30.192925038227514,62.51237714290619,10.887432098388672,10.022351861000061,6.26397180557251,3.7583800554275513,4.623460292816162
24,"People are less likely to enjoy life under surveillance .
",1,25.204373691872597,50.730383925139904,7.925512313842773,7.899161823093891,2.3080739974975586,5.5910878255963326,5.617438316345215
25,"Therefore , surveillance technology provides convenience to the society but makes more inconvenience to individuals .
",0,34.845289439279526,90.3554527759552,12.053116798400879,11.01415753364563,6.436038970947266,4.578118562698364,5.617077827453613
26,"Therefore , surveillance technology can be used but the use of surveillance should be modified in such a way that individuals are less affected in normal life .
",1,34.649247541074324,110.51249809935689,12.053116798400879,12.00318280979991,9.23962140083313,2.7635614089667797,2.813495397567749
27,"In general , surveillance technology benefits the society and should be applied with the consideration of individuals ' life .
",0,30.755751743612098,97.05545562505722,10.395365715026855,10.092983722686768,5.338156700134277,4.75482702255249,5.057209014892578
28,"I do not agree on this argument that surveillance technology should not be used to track people .
",0,28.312395294109386,72.95749525725842,10.585729598999023,10.43205614387989,6.751564025878906,3.680492118000984,3.834165573120117
29,"In this fast moving society , technology is always improving to catch up the fast pace of this world and most surveillance technology is used by the police or other army usage to track people down .
",0,37.35280356514672,154.45293508842587,11.652698516845703,11.591538857668638,8.274960994720459,3.3165778629481792,3.377737522125244
30,"Although the surveillance technology is an issue in invading the human privacy , it has also brought us lots of benefits and security .
",0,34.60972632030099,107.91184269357473,13.3706636428833,13.356107006780803,9.74999451637268,3.6061124904081225,3.62066912651062
31,"There are two points supporting this argument .
",1,25.35944434288831,41.73792576789856,10.992122650146484,10.177691459655762,7.627177953720093,2.550513505935669,3.3649446964263916
32,"Firstly , security systems are improved in many areas such as school campus or at the workplace .
",0,35.15009006474485,94.43483853340149,10.856391906738281,10.823984503746033,7.519179821014404,3.3048046827316284,3.337212085723877
33,"Secondly , it makes it possible for parents to track their children and also their elderly parents .
",1,28.270043965916983,69.89026296138763,10.379859924316406,10.107768535614014,7.390474557876587,2.7172939777374268,2.9893853664398193
34,"Therefore , this technology should be used to track people .
",1,25.4260737453058,53.25936549901962,8.327733039855957,7.650403439998627,4.546178340911865,3.1042250990867615,3.781554698944092
