,Sentence,Label,weightedSum,sum,min,max/min,max/med,med/min,med,bleu
0,"In modern digital world , electronic products are widely used in daily lives such as Smart phones , computers and etc .
",0,34.867608088361166,68.8951374971657,19.405330657958984,19.4045129782171,17.355493307113647,2.0490196711034514,2.049837350845337,0.53228860493828
1,"In work places , electronic devices such as computers are also inevitable to use to increase the productivity of the corporation .
",0,24.17135711304503,40.32857356809291,14.21332836151123,14.213310122655457,13.720196515321732,0.49311360733372567,0.4931318461894989,0.7590642198243758
2,"The convenience and high efficiency of using electronic products is being noticed by people worldwide .
",0,31.078312685156924,49.375360900274245,17.971004486083984,17.970866093673976,17.176236748695374,0.7946293449786026,0.7947677373886108,0.8663262786122014
3,"Some people started to think if electronic products can be further operated to more advanced utilization and replace human beings for better performances .
",0,32.023441379478214,68.36448425267008,15.31201171875,15.311962248117197,13.230252265930176,2.0817099821870215,2.081759452819824,0.9129657485960063
4,"Surveillance technology such as RFID ( radio-frequency identification ) is one type of examples that has currently been implemented .
",0,36.56371836778066,86.36587203110685,15.082178115844727,15.081780870183138,13.437445044517517,1.644335825665621,1.6447330713272095,0.6269523431007493
5,"In this essay , I will discuss that if surveillance technology such as RFID ( radio-frequency identification ) should be used or not to track people .
",0,30.771552525399493,67.31150590273319,14.361608505249023,14.36093984550098,14.075593888759613,0.28534595674136654,0.2860146164894104,0.6092731467609276
6,"Personally , I agree to a large extent that surveillance technology such as RFID should be used to track people .
",0,34.993259692216256,61.92861607626401,15.353470802307129,15.353352792073565,14.6384357213974,0.7149170706761652,0.715035080909729,0.7997222808340979
7,"Surveillance technology such as RFID can be operated twenty-four hours with the absence of operators to track done every detail about human activities .
",0,41.62650142400569,85.44163715466857,22.491331100463867,22.4902046113275,20.856293320655823,1.6339112906716764,1.6350377798080444,0.9129657485960063
8,"For instance , in militaries which are of high importance , surveillance technology is essential as it is a way to provide undeniable evidences if anything are fault .
",0,31.651441328237855,70.25040028902004,15.715548515319824,15.714997681730893,14.87524163722992,0.8397560445009731,0.8403068780899048,0.7235020694809541
9,"In supermarkets where it is difficult to catch stealers , surveillance technology which makes records that can be replayed or detect stealers on the spot are superior to use .
",0,37.055791739288054,93.28464952774812,15.511831283569336,15.511213612626307,14.282238364219666,1.2289752484066412,1.2295929193496704,0.7549410827807058
10,"The high accuracy in utilizing surveillance technology eliminates the amount of disagreements among people .
",0,35.792272390139686,55.86371720301668,22.7064266204834,22.70642173291435,21.36685037612915,1.3395713567852,1.339576244354248,0.856713382523102
11,"If people are aware of the existence of surveillance , the chance for them to follow rules and orders is high .
",0,30.748065587608483,46.03155230768607,15.201836585998535,15.201685559237376,14.987532779574394,0.21415277966298163,0.21430380642414093,0.7590642198243758
12,"It is useful as it reduces the chances of wrong doings that may occur .
",0,25.25253499577693,42.56886519375257,15.15942096710205,15.157776159467176,13.815992712974548,1.3417834464926273,1.3434282541275024,0.856713382523102
13,"Therefore , surveillance technology makes our society more ordered .
",0,29.050979618309537,42.34814615383948,16.796236038208008,16.796178819386114,13.067564249038696,3.7286145703474176,3.7286717891693115,0.5507970427873699
14,"Risks can be analyzed if there is a record of what was happened in the past .
",0,36.83553619237318,57.758088753093034,21.93948745727539,21.93549809930846,21.033481240272522,0.902016859035939,0.9060062170028687,0.8747264180747365
15,"In late nineteenth century , there was a severe air crash happening at Miami international airport .
",0,34.87397811432444,82.27512627391843,14.021295547485352,14.020798210811336,11.233704566955566,2.787093643855769,2.787590980529785,0.6815190674406459
16,"The air cargo of the Valujet plane was on fire after the plane had taken off .
",0,27.825687490216797,47.7485839482365,15.241958618164062,15.241956114772165,14.069214582443237,1.1727415323289279,1.1727440357208252,0.7447165412894419
17,"Sooner or later , the electric systems were short circuited as a result that the airplane was out of control and nose diving to the ground with extremely high speed .
",0,26.561805121492622,51.00882703572279,12.401674270629883,12.401229837967549,11.772716641426086,0.6285131965414621,0.6289576292037964,0.7297656993297125
18,"All passengers and pilots were died .
",0,31.69669303366476,44.630057989794295,16.251201629638672,16.251162768166978,13.529929161071777,2.7212336070952006,2.7212724685668945,0.6591682262823905
19,"After finding and analyzing the black box of the Valujet after the incidence , police investigators found out reasons for causing this severe incidence .
",0,29.5833644012847,62.30542777464143,14.581676483154297,14.58165943637141,13.824570059776306,0.7570893765951041,0.7571064233779907,0.7022327758383314
20,"Surveillance technology can be used to detect very risky events and prevent its happening in the future , hence to save more lives .
",0,33.04614520341199,72.41693617831334,15.778960227966309,15.778605881525436,13.650399208068848,2.1282066734565888,2.128561019897461,0.7803837666807638
21,"In addition , if surveillance technology is even better developed , it can be used to detect the problem before the real accidence has happened .
",0,30.032741684750153,62.06998850265518,14.851323127746582,14.845656862016767,14.01162838935852,0.8340284726582468,0.8396947383880615,0.6203071614650456
22,"However , the dark side of using surveillance technology is that it results in the invasion of privacy .
",0,26.9583195024483,38.060030724496755,14.706151008605957,14.706135273103428,14.585104323923588,0.12103094917983981,0.12104668468236923,0.7773745010088242
23,"People under supervision are under high pressure to perform naturally .
",1,34.24158089365108,41.42111072211992,23.49427032470703,23.494194033672102,23.206622838974,0.28757119469810277,0.2876474857330322,0.7986766010966401
24,"People are less likely to enjoy life under surveillance .
",1,37.329607345022154,50.14967250761765,24.57421875,24.574183464672387,22.90724778175354,1.6669356829188473,1.66697096824646,0.7758953294014638
25,"Therefore , surveillance technology provides convenience to the society but makes more inconvenience to individuals .
",0,32.12181561343472,63.57199703317383,16.532440185546875,16.532402158507466,14.198669910430908,2.333732248076558,2.333770275115967,0.7325681762384697
26,"Therefore , surveillance technology can be used but the use of surveillance should be modified in such a way that individuals are less affected in normal life .
",1,30.039869440006832,62.01265567028895,15.7766752243042,15.775936876190826,14.691671371459961,1.0842655047308654,1.0850038528442383,0.776217700859753
27,"In general , surveillance technology benefits the society and should be applied with the consideration of individuals ' life .
",0,25.784273448055178,37.449968655699195,16.033451080322266,16.033424258592277,15.77134245634079,0.2620818022514868,0.26210862398147583,0.6469848569901104
28,"I do not agree on this argument that surveillance technology should not be used to track people .
",0,29.133655612039085,42.81324843678158,20.532594680786133,20.531172691029496,19.703134775161743,0.8280379158677533,0.8294599056243896,0.8821303640394135
29,"In this fast moving society , technology is always improving to catch up the fast pace of this world and most surveillance technology is used by the police or other army usage to track people down .
",0,24.387891919037518,44.743909654425806,13.502082824707031,13.502003315268666,13.233097583055496,0.26890573221317027,0.26898524165153503,0.8604478856742221
30,"Although the surveillance technology is an issue in invading the human privacy , it has also brought us lots of benefits and security .
",0,32.746092443639746,66.54676420753822,15.321475982666016,15.321175262855832,13.696794986724854,1.624380276130978,1.624680995941162,0.7803837666807638
31,"There are two points supporting this argument .
",1,27.593276243488027,33.817249268700834,21.378116607666016,21.37757149297977,20.4736550450325,0.9039164479472674,0.9044615626335144,0.7098857563845141
32,"Firstly , security systems are improved in many areas such as school campus or at the workplace .
",0,33.180756328736074,58.481375591502,16.788265228271484,16.788199069305847,15.202133536338806,1.5860655329670408,1.5861316919326782,0.7642127155290915
33,"Secondly , it makes it possible for parents to track their children and also their elderly parents .
",1,31.245795596096603,45.360556042345706,19.921207427978516,19.9205523491255,19.28364884853363,0.6369035005918704,0.6375585794448853,0.7642127155290915
34,"Therefore , this technology should be used to track people .
",1,30.1430063066771,43.49343615469115,16.395702362060547,16.395624759825296,15.010285496711731,1.3853392631135648,1.385416865348816,0.59677388028245
