,Sentence,Label,weightedSum,sum,min,max/min,max/med,med/min,med,bleu
0,"In modern digital world , electronic products are widely used in daily lives such as Smart phones , computers and etc .
",0,33.812179167022535,94.05804550135508,10.176835060119629,10.171799247618765,5.747966766357422,4.423832481261343,4.428868293762207,0.53228860493828
1,"In work places , electronic devices such as computers are also inevitable to use to increase the productivity of the corporation .
",0,36.32120428019749,93.98430607112823,12.510065078735352,12.509840156097198,8.579726219177246,3.930113936919952,3.9303388595581055,0.7590642198243758
2,"The convenience and high efficiency of using electronic products is being noticed by people worldwide .
",0,32.147478378531275,84.53799968957901,10.414737701416016,10.081895589828491,3.720707893371582,6.361187696456909,6.694029808044434,0.8663262786122014
3,"Some people started to think if electronic products can be further operated to more advanced utilization and replace human beings for better performances .
",0,41.92106213437342,138.38876485824585,13.296979904174805,13.077124297618866,8.288465023040771,4.7886592745780945,5.008514881134033,0.9129657485960063
4,"Surveillance technology such as RFID ( radio-frequency identification ) is one type of examples that has currently been implemented .
",0,38.02800579870726,110.70784986764193,13.580470085144043,13.50683018565178,9.015623092651367,4.491207093000412,4.564846992492676,0.6269523431007493
5,"In this essay , I will discuss that if surveillance technology such as RFID ( radio-frequency identification ) should be used or not to track people .
",0,40.96509075094795,137.06575458403677,17.07006072998047,17.068857916630805,13.338989734649658,3.7298681819811463,3.7310709953308105,0.6092731467609276
6,"Personally , I agree to a large extent that surveillance technology such as RFID should be used to track people .
",0,30.567874243344907,86.46155245858245,10.64111614227295,10.640367192449048,7.823434591293335,2.816932601155713,2.8176815509796143,0.7997222808340979
7,"Surveillance technology such as RFID can be operated twenty-four hours with the absence of operators to track done every detail about human activities .
",0,38.95441734972893,138.1792994295247,11.897586822509766,11.89268374396488,5.841233253479004,6.051450490485877,6.056353569030762,0.9129657485960063
8,"For instance , in militaries which are of high importance , surveillance technology is essential as it is a way to provide undeniable evidences if anything are fault .
",0,48.88048258443618,156.09518570452929,17.132043838500977,17.025933288037777,12.691489696502686,4.334443591535091,4.440554141998291,0.7235020694809541
9,"In supermarkets where it is difficult to catch stealers , surveillance technology which makes records that can be replayed or detect stealers on the spot are superior to use .
",0,43.28556926309711,166.7998564671725,12.599871635437012,12.570987837389112,8.254082679748535,4.316905157640576,4.345788955688477,0.7549410827807058
10,"The high accuracy in utilizing surveillance technology eliminates the amount of disagreements among people .
",0,46.943529835270134,98.978586117737,16.194419860839844,16.19332778500393,11.86377239227295,4.329555392730981,4.3306474685668945,0.856713382523102
11,"If people are aware of the existence of surveillance , the chance for them to follow rules and orders is high .
",0,30.6245874733741,78.19544394500554,11.453451156616211,11.42830997519195,8.550181865692139,2.878128109499812,2.9032692909240723,0.7590642198243758
12,"It is useful as it reduces the chances of wrong doings that may occur .
",0,26.926595811172792,57.33912220818456,9.137781143188477,9.136287970119156,5.48736047744751,3.648927492671646,3.650420665740967,0.856713382523102
13,"Therefore , surveillance technology makes our society more ordered .
",0,32.79807811995124,54.80237805843353,12.695600509643555,11.624338150024414,7.1223955154418945,4.5019426345825195,5.57320499420166,0.5507970427873699
14,"Risks can be analyzed if there is a record of what was happened in the past .
",0,24.366868394772084,52.75735253095627,8.835978507995605,8.571844220161438,5.756961345672607,2.8148828744888306,3.079017162322998,0.8747264180747365
15,"In late nineteenth century , there was a severe air crash happening at Miami international airport .
",0,37.16747597112542,80.98579400777817,13.6554536819458,12.975675582885742,10.36510157585144,2.6105740070343018,3.2903521060943604,0.6815190674406459
16,"The air cargo of the Valujet plane was on fire after the plane had taken off .
",0,39.319795799386696,86.22897288948298,13.510610580444336,13.434265159070492,9.96114730834961,3.4731178507208824,3.5494632720947266,0.7447165412894419
17,"Sooner or later , the electric systems were short circuited as a result that the airplane was out of control and nose diving to the ground with extremely high speed .
",0,32.14061955190614,115.14408313855529,8.837684631347656,8.790726903825998,6.062483549118042,2.7282433547079563,2.7752010822296143,0.7297656993297125
18,"All passengers and pilots were died .
",0,26.279307692078874,36.66378998756409,11.958232879638672,10.390014410018921,8.955236911773682,1.4347774982452393,3.0029959678649902,0.6591682262823905
19,"After finding and analyzing the black box of the Valujet after the incidence , police investigators found out reasons for causing this severe incidence .
",0,46.635336414674704,156.95070675434545,14.4573335647583,14.45085885701701,8.667701244354248,5.783157612662762,5.789632320404053,0.7022327758383314
20,"Surveillance technology can be used to detect very risky events and prevent its happening in the future , hence to save more lives .
",0,31.2285916065274,99.48146361112595,9.51117992401123,9.028598725795746,4.857687950134277,4.1709107756614685,4.653491973876953,0.7803837666807638
21,"In addition , if surveillance technology is even better developed , it can be used to detect the problem before the real accidence has happened .
",0,45.11565808954352,126.59414135664701,19.07797622680664,18.95482761412859,15.38451862335205,3.570308990776539,3.69345760345459,0.6203071614650456
22,"However , the dark side of using surveillance technology is that it results in the invasion of privacy .
",0,30.142915979889068,67.6236309222877,10.540783882141113,10.50056280568242,8.056509017944336,2.444053787738085,2.4842748641967773,0.7773745010088242
23,"People under supervision are under high pressure to perform naturally .
",1,26.604658272912275,48.261051297187805,10.592363357543945,9.917664527893066,6.453283309936523,3.464381217956543,4.139080047607422,0.7986766010966401
24,"People are less likely to enjoy life under surveillance .
",1,22.032711031095317,38.159974625334144,7.513423919677734,7.50064761377871,2.706430435180664,4.794217178598046,4.80699348449707,0.7758953294014638
25,"Therefore , surveillance technology provides convenience to the society but makes more inconvenience to individuals .
",0,38.0045481561519,86.00740420818329,12.782221794128418,11.441100001335144,7.207127094268799,4.233972907066345,5.575094699859619,0.7325681762384697
